0,1001,Liam,Mouse,Electronics,700,Chennai
1,1002,Charlie,Shoes,Fashion,2500,Delhi
2,1003,Jack,Backpack,Fashion,2200,Jaipur
3,1004,Bob,Laptop,Electronics,55000,Pune
4,1005,Jack,Shoes,Fashion,2500,Kolkata
5,1006,Liam,Backpack,Fashion,2200,Bengaluru
6,1007,Henry,Headphones,Electronics,1800,Chennai
7,1008,Liam,Laptop,Electronics,55000,Jaipur
8,1009,Charlie,Book,Books,450,Pune
9,1010,Bob,Book,Books,450,Jaipur
10,1011,Noah,Mouse,Electronics,700,Hyderabad
11,1012,Mia,Water Bottle,Home,300,Kolkata
12,1013,Bob,Coffee Mug,Home,350,Jaipur
13,1014,Eva,Mouse,Electronics,700,Hyderabad
14,1015,Liam,Water Bottle,Home,300,Delhi
15,1016,Mia,Laptop,Electronics,55000,Chennai
16,1017,Noah,Mouse,Electronics,700,Delhi
17,1018,Henry,Headphones,Electronics,1800,Hyderabad
18,1019,Frank,Keyboard,Electronics,1500,Pune
19,1020,Jack,T-Shirt,Fashion,800,Mumbai
20,1021,Charlie,Backpack,Fashion,2200,Lucknow
21,1022,Olivia,Headphones,Electronics,1800,Bengaluru
22,1023,Noah,Shoes,Fashion,2500,Kolkata
23,1024,Mia,Shoes,Fashion,2500,Hyderabad
24,1025,Bob,Headphones,Electronics,1800,Pune
25,1026,David,Water Bottle,Home,300,Lucknow
26,1027,Charlie,Headphones,Electronics,1800,Chennai
27,1028,Liam,Keyboard,Electronics,1500,Bengaluru
28,1029,Liam,Backpack,Fashion,2200,Jaipur
29,1030,Frank,Water Bottle,Home,300,Pune
30,1031,Henry,Keyboard,Electronics,1500,Delhi
31,1032,Charlie,Laptop,Electronics,55000,Mumbai
32,1033,Bob,Headphones,Electronics,1800,Jaipur
33,1034,Henry,Headphones,Electronics,1800,Bengaluru
34,1035,Noah,T-Shirt,Fashion,800,Kolkata
35,1036,Mia,Mouse,Electronics,700,Chennai
36,1037,Eva,Book,Books,450,Jaipur
37,1038,Alice,Keyboard,Electronics,1500,Chennai
38,1039,Ivy,Backpack,Fashion,2200,Delhi
39,1040,Jack,T-Shirt,Fashion,800,Pune
40,1041,Mia,Keyboard,Electronics,1500,Mumbai
41,1042,Olivia,Backpack,Fashion,2200,Kolkata
42,1043,Henry,Water Bottle,Home,300,Kolkata
43,1044,Olivia,Mouse,Electronics,700,Chennai
44,1045,David,Shoes,Fashion,2500,Delhi
45,1046,Noah,Mouse,Electronics,700,Delhi
46,1047,Charlie,Backpack,Fashion,2200,Lucknow
47,1048,Eva,Backpack,Fashion,2200,Bengaluru
48,1049,David,Water Bottle,Home,300,Bengaluru
